epoch,err_per_gray,err_per_hog,err_mlp_gray,err_mlp_hog,acc_per_gray,acc_per_hog,acc_mlp_gray,acc_mlp_hog
1,0.999584,0.732636,0.859598,0.726103,12.25,46.93,25.93,46.53
2,0.995598,0.679641,0.839312,0.646885,16.79,48.8,25.57,50.11
3,0.993269,0.665121,0.838684,0.620406,13.53,49.34,27.26,52.07
4,0.992805,0.656662,0.833075,0.601956,17.04,49.62,25.6,53.14
5,0.99064,0.650927,0.831418,0.58861,12.69,50.01,28.35,53.85
6,0.990327,0.646716,0.831551,0.578212,16.48,50.25,29.75,54.52
7,0.988054,0.643498,0.831584,0.569569,16.62,50.48,28.42,55.23
8,0.986642,0.64095,0.829646,0.562053,17.34,50.56,27.81,55.59
9,0.984619,0.638892,0.827608,0.55534,18.61,50.64,29.12,56.12
10,0.9853,0.637198,0.825687,0.549258,16.27,50.75,29.2,56.25
